concept_code,assessment_tool_name,assessment_description,published_value,response_description,decimal_places,collection_start_date,specification_version,source_row
1035791000000106,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),"Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",3,Certainly true,0,2016-04-01,4.1,52
1035791000000106,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),"Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",3,Certainly true,0,2016-04-01,5.0,52
1035791000000106,Experience of Service Questionnaire (ESQ),"Experience of Service Questionnaire (ESQ) Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",3,Certainly true,0,2016-04-01,6.0.7.1,355
1035791000000106,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),"Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",999,Don't know/Missing,0,2016-04-01,4.1,53
1035791000000106,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),"Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",999,Don't know/Missing,0,2016-04-01,5.0,53
1035791000000106,Experience of Service Questionnaire (ESQ),"Experience of Service Questionnaire (ESQ) Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",999,Don't know/Missing,0,2016-04-01,6.0.7.1,356
1035801000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 10 score - it is quite easy to get to the place where the appointments are,1,Not True,0,2016-04-01,4.1,54
1035801000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 10 score - it is quite easy to get to the place where the appointments are,1,Not True,0,2016-04-01,5.0,54
1035801000000105,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 10 score - it is quite easy to get to the place where the appointments are,1,Not True,0,2016-04-01,6.0.7.1,313
1035801000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 10 score - it is quite easy to get to the place where the appointments are,2,Partly true,0,2016-04-01,4.1,55
1035801000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 10 score - it is quite easy to get to the place where the appointments are,2,Partly true,0,2016-04-01,5.0,55
1035801000000105,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 10 score - it is quite easy to get to the place where the appointments are,2,Partly true,0,2016-04-01,6.0.7.1,314
1035801000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 10 score - it is quite easy to get to the place where the appointments are,3,Certainly true,0,2016-04-01,4.1,56
1035801000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 10 score - it is quite easy to get to the place where the appointments are,3,Certainly true,0,2016-04-01,5.0,56
