snomed_code,description
43977004,Corticostriatal-spinal degeneration
43985008,"Hodgkin lymphoma, nodular sclerosis, grade 2"
44145005,Benign Rolandic epilepsy
44155009,Pilomatrixoma
44165003,Complication of transplanted lung
44176004,Disorder of histidine metabolism
44241007,Heart valve stenosis
44513007,Congenital anomaly of the kidney
44524009,Mesenchymoma
44529004,Giant cell glioblastoma
44553005,Dubin-Johnson syndrome
44598004,Leiomyoma
44695005,Paralysis
44769000,Choriocarcinoma
44779003,Disorder of amino acid metabolism
44796002,Ectopic ureter
44808001,Conduction disorder of the heart
44940001,Adenosine deaminase deficiency
45002009,Leydig cell tumour
45024009,Hepatoblastoma
45083001,Urothelial papilloma
45142002,Congenital pulmonary lymphangiectasis
45187003,Abdominal fibromatosis
45188008,Glycoprolinuria
45227007,Hypertrophic obstructive cardiomyopathy
45369008,Neurohypophyseal diabetes insipidus
45410002,Acinar cell carcinoma
45490001,"Squamous cell carcinoma, large cell, nonkeratinising"
45492009,Congenital stenosis of superior vena cava
45502001,Cerebrovascular amyloidosis
45572000,"Hodgkin lymphoma, nodular sclerosis, grade 1"
45582004,Rubinstein-Taybi syndrome
45650007,Kyphoscoliotic heart disease
